driver_encoded,team_encoded,race_name_encoded,year,driver_competitiveness,team_competitiveness,points_last_3,session_air_temp,session_track_temp,session_humidity,session_rainfall,heat_index,weather_difficulty_index,circuit_type_encoded,driver_avg_points_in_rain,driver_avg_points_in_dry,driver_rain_dry_delta,target_position
20,11,5,2023,0.0,0.24344072801334063,0.0,19.57833333333333,27.29416666666667,77.00833333333334,1,0.19963833333333336,3.7700833333333335,1,0.0,0.0,0.0,17
11,5,17,2022,1.9487999999999999,0.15841640447999997,0.6666666666666666,30.617283950617285,42.81975308641975,58.858024691358025,1,0.34612469135802465,3.58858024691358,2,0.0,3.5,-3.5,16
15,10,21,2022,16.77247056805888,35.252842241523716,17.333333333333332,26.23254901960784,28.973333333333333,87.44705882352942,1,0.23584156862745095,3.8744705882352943,2,18.0,11.363636363636363,6.636363636363637,1
10,4,6,2024,3.8923438875236744,18.727307673183624,3.3333333333333335,15.77074829931973,27.670068027210885,67.33333333333333,1,0.1879714285714286,3.6733333333333333,1,10.75,11.555555555555555,-0.8055555555555554,14
0,11,4,2024,0.3795041603317366,0.272136426243092,0.0,18.22738853503185,23.652866242038222,48.82165605095541,0,0.20515414012738856,0.4882165605095541,0,0.75,0.7931034482758621,-0.0431034482758621,15
15,10,11,2022,8.9233840128,35.35816192,4.0,30.164843750000003,54.46171875,47.734375,0,0.4011015625,0.47734375,0,18.5,10.88888888888889,7.611111111111111,4
11,5,16,2023,0.08754501456850466,0.00989705139874262,0.0,25.547368421052628,45.63947368421053,23.55263157894737,0,0.3622894736842105,0.2355263157894737,0,0.0,0.8846153846153846,-0.8846153846153846,19
15,10,1,2022,10.08,31.2,10.0,26.69743589743589,37.40833333333334,43.65384615384615,0,0.3161641025641025,0.43653846153846154,2,0.0,10.0,-10.0,2
1,2,23,2022,6.819348711441695,9.109841312546816,7.333333333333333,22.6123595505618,36.339325842696624,70.56179775280899,0,0.2604696629213483,0.7056179775280899,0,3.2,3.6153846153846154,-0.41538461538461524,5
6,8,11,2022,14.8398511104,24.21846528,16.0,30.164843750000003,54.46171875,47.734375,0,0.4011015625,0.47734375,0,6.0,10.88888888888889,-4.888888888888889,2
14,2,20,2022,6.8,7.360376446976,7.0,25.42039473684211,28.40921052631579,59.66447368421053,0,0.2564947368421053,0.5966447368421053,2,0.0,7.0,-7.0,6
14,2,22,2022,4.75968,5.84973552091136,3.3333333333333335,36.56585365853658,48.957317073170735,7.109756097560975,0,0.45811463414634146,0.07109756097560975,0,4.0,5.2,-1.2000000000000002,7
4,1,7,2023,0.055987199999999994,0.2740334075894871,0.0,18.530246913580246,30.593209876543206,63.901234567901234,0,0.21965308641975306,0.6390123456790123,1,0.0,0.2857142857142857,-0.2857142857142857,18
1,2,17,2022,0.2592,7.556601241599999,0.0,30.617283950617285,42.81975308641975,58.858024691358025,1,0.34612469135802465,3.58858024691358,2,0.0,0.5,-0.5,11
13,7,23,2023,15.349930711424962,13.242400971382335,15.666666666666666,27.34666666666667,50.376666666666665,22.477777777777778,1,0.3931088888888889,3.2247777777777777,0,7.3,6.703703703703703,0.5962962962962965,2
7,5,4,2024,0.00024374389600419834,3.345950762085176,0.0,18.22738853503185,23.652866242038222,48.82165605095541,0,0.20515414012738856,0.4882165605095541,0,0.0,0.3333333333333333,-0.3333333333333333,16
7,5,17,2023,0.8640000000000001,0.4059382308392456,2.0,27.11741935483871,36.689032258064515,59.42580645161291,0,0.30003483870967745,0.5942580645161291,2,0.0,1.0,-1.0,15
6,8,10,2024,5.950343319728268,16.95085820704522,6.0,25.113986013986015,42.023776223776224,48.42657342657343,0,0.3203524475524476,0.48426573426573427,0,8.0,9.909090909090908,-1.9090909090909083,6
23,10,18,2022,18.768,38.8134506708992,22.0,22.27469387755102,31.038367346938774,75.66530612244898,1,0.23213632653061222,3.75665306122449,2,20.5,15.2,5.300000000000001,3
18,8,13,2023,6.856911133265894,17.123367573101334,6.0,29.330128205128204,42.928205128205136,42.32051282051282,0,0.35537307692307696,0.4232051282051282,1,6.444444444444445,11.521739130434783,-5.0772946859903385,5
25,0,7,2023,0.5848243825143188,0.813816495868957,0.6666666666666666,18.530246913580246,30.593209876543206,63.901234567901234,0,0.21965308641975306,0.6390123456790123,1,0.0,0.5,-0.5,16
25,0,20,2022,0.6,1.59885657440256,0.5,25.42039473684211,28.40921052631579,59.66447368421053,0,0.2564947368421053,0.5966447368421053,2,0.0,0.5,-0.5,11
